Question_ID,World_ID,Section_ID,Level_ID,Question_Title,Option_1,Option_2,Option_3,Correct_Option
1,1,1,1,5+3,8,9,8,8
2,1,1,1,4+9,10,6,9,13
3,1,1,1,0+7,9,0,8,7
4,1,1,1,2+6,0,0,4,8
5,1,1,1,8+6,0,5,3,14
6,1,1,2,41+5,10,99,83,46
7,1,1,2,4+93,91,66,45,97
8,1,1,2,0+56,98,95,84,56
9,1,1,2,28+6,27,55,20,34
10,1,1,2,63+4,25,22,63,67
11,1,1,3,63+14,3,65,10,77
12,1,1,3,34+97,81,16,109,131
13,1,1,3,52+16,22,26,4,68
14,1,1,3,48+44,11,19,117,92
15,1,1,3,73+19,76,5,94,92
16,1,1,4,141+13,333,700,811,154
17,1,1,4,134+43,496,250,934,177
18,1,1,4,10+446,997,454,200,456
19,1,1,4,62+615,374,323,105,677
20,1,1,4,63+466,398,436,151,529
21,1,1,5,411+179,181,400,441,590
22,1,1,5,455+943,992,555,152,1398
23,1,1,5,150+536,297,719,108,686
24,1,1,5,284+631,806,138,734,915
25,1,1,5,999+777,691,453,761,1776
26,1,2,1,7-0,3,6,5,7
27,1,2,1,3 - 1,3,3,7,2
28,1,2,1,4 - 3,1,9,10,1
29,1,2,1,8 - 2,7,10,8,6
30,1,2,1,6 - 8,8,1,8,-2
31,1,2,2,41-1,25,10,-9,40
32,1,2,2,93-4,-5,-22,-6,89
33,1,2,2,56-0,-2,44,30,56
34,1,2,2,28 - 6,-27,-44,-17,22
35,1,2,2,63-4,30,-27,26,59
36,1,2,3,63-14,-48,-85,-20,49
37,1,2,3,34-97,7,6,-90,-63
38,1,2,3,52-16,-49,-10,35,36
39,1,2,3,48-44,28,-85,-3,4
40,1,2,3,73-19,41,-74,-3,54
41,1,2,4,141-13,-19,-74,-80,128
42,1,2,4,134-43,4,-90,4,91
43,1,2,4,10-446,4,23,-59,-436
44,1,2,4,62-615,-40,-2,36,-553
45,1,2,4,63-466,-68,12,-97,-403
46,1,2,5,411-179,18,-197,-17,232
47,1,2,5,455-943,162,10,-93,-488
48,1,2,5,150-536,8,-3,-77,-386
49,1,2,5,284-631,130,-76,118,-347
50,1,2,5,999-777,-127,-14,-79,222
51,1,3,1,4+1+0,8,10,10,5
52,1,3,1,4+9+2,8,5,0,15
53,1,3,1,3+4+6,6,3,10,13
54,1,3,1,1+8+6,1,6,0,15
55,1,3,1,9+3+4,3,4,2,16
56,1,3,2,9-3-1,-18,-3,-19,5
57,1,3,2,1-3-3,6,-47,-10,-5
58,1,3,2,3-4-2,4,-40,17,-3
59,1,3,2,1-0-0,-2,19,-20,1
60,1,3,2,9-9-9,-11,-42,41,-9
61,1,3,3,3+3-1,35,3,44,5
62,1,3,3,1-6+0,-49,-66,-96,-5
63,1,3,3,2+8-4,8,-94,46,6
64,1,3,3,0+0-2,44,8,-58,-2
65,1,3,3,8-9+5,42,-37,-9,4
66,1,3,4,12-3+21,-21,15,-11,30
67,1,3,4,14-22+2,-82,20,12,-6
68,1,3,4,33+4-24,-59,-46,18,13
69,1,3,4,99+0-40,46,-61,-41,59
70,1,3,4,9+76-65,-76,29,48,20
71,1,3,5,45-385+321,-155,45,130,-19
72,1,3,5,87+874-312,-93,83,41,649
73,1,3,5,874-42+122,155,-92,-134,954
74,1,3,5,95+897-100,198,59,58,892
75,1,3,5,873+911-999,4,-96,-79,785
76,1,4,1,2.1+2.3,4.45,1.54,1,4.40
77,1,4,1,3.2+4.1,5.7,0,2.62,7.30
78,1,4,1,1.5+6.3,1.37,0.11,1.32,7.80
79,1,4,1,1.7+8.2,2.42,0.85,4.69,9.90
80,1,4,1,2.7+9.2,2.6,0.48,0.86,11.90
81,1,4,2,2.3-2.1,4.35,0,2.82,0.20
82,1,4,2,1-3.2,5.7,1.05,6.62,-2.20
83,1,4,2,6.3-1.5,0.48,0.83,1.92,4.80
84,1,4,2,8.2-1.7,2.76,0.63,2.13,6.50
85,1,4,2,9.2-2.7,1.63,0.01,0.12,6.50
86,1,4,3,2.44+6.44,2.82,0,1.48,8.88
87,1,4,3,6.25-1.56,0,1.32,2.71,4.69
88,1,4,3,3.27+6.24,1.16,0.15,0.73,9.51
89,1,4,3,6.25-5.25,0.28,0.45,0,1
90,1,4,3,2.34+4.66,0.43,0,3.59,7
91,1,4,4,2.44+6.44-6.55,5.19,5.76,0.27,2.33
92,1,4,4,6.25-1.56-3.22,1.31,1.94,0.58,1.47
93,1,4,4,3.27-3.22+6.24,0.32,0.53,6,6.29
94,1,4,4,6.25-5.25+3.00,3.11,5.89,3.72,4
95,1,4,4,2.34+4.66-4.52,2.49,0,4.82,2.48
96,1,4,5,2.345+1.536,4.76,1.97,0.98,3.88
97,1,4,5,5.353+5.345,1.99,0,0,10.7
98,1,4,5,1.567+3.453,5.21,0.69,1.98,5.02
99,1,4,5,3.245-2.245,6.4,5.55,1.34,1
100,1,4,5,5.247-2.147,1.27,1.5,2.18,3.1
101,1,5,1,(1/3)+(1/2),5.5,0.15,0.21,0.83
102,1,5,1,(1/6)+(2/5),2.48,1.27,6.34,0.57
103,1,5,1,(2/7)+(2/5),0.63,3.26,2.97,0.69
104,1,5,1,(1/8)+(1/4),0.3,1.78,0.7,0.38
105,1,5,1,(3/7)+(3/8),0.89,4.17,3.25,0.80
106,1,5,2,(1/2)-(1/3),2.28,4.94,0.02,0.17
107,1,5,2,(2/5)-(1/6),8.31,2.33,1.88,0.23
108,1,5,2,(2/5)-(2/7),1.78,1.81,5.31,0.11
109,1,5,2,(1/4)-(1/8),6.09,2.12,3.73,0.13
110,1,5,2,(3/7)-(3/8),0.18,0.92,8.94,0.05
111,1,5,3,(1/10)+2.5,2.24,8.06,1.01,2.60
112,1,5,3,(1/5)+2.2,0,0.69,4.11,2.40
113,1,5,3,3.5+(2/5),5.27,0.77,8,3.90
114,1,5,3,4.2+(8/10),4.28,0.11,5,5
115,1,5,3,(3/5)+1.2,5.39,0,2.49,1.80
116,1,5,4,(1/3)+(2/5)+0.3,3.39,0.95,8.68,1.03
117,1,5,4,(2/10)+(2/5)+1.1,0.75,2.66,3.25,1.70
118,1,5,4,(2/5)+(1/8)+0.5,3,4.17,3.2,1.03
119,1,5,4,(1/10)+3.5+(2/5),6.58,0.08,0.89,4
120,1,5,4,2.3+(1/3)+(2/9),0.08,0.51,3.96,2.86
121,1,5,5,(1/20)-0.01,4.96,4.47,2.55,0.04
122,1,5,5,(7/50)+0.25,0.47,1.04,3.17,0.39
123,1,5,5,3.7-(4/25),2.38,0.96,4.25,3.54
124,1,5,5,0.33+(3/10),0.96,2.08,4.98,0.63
125,1,5,5,2.27+(3/100),0.87,5.49,1.58,2.30
126,2,1,1,7 * 3,14,41,27,21
127,2,1,1,4 * 2,42,6,6,8
128,2,1,1,0 * 2,28,50,15,0
129,2,1,1,2 * 6,33,26,43,12
130,2,1,1,1 * 0,49,19,24,0
131,2,1,2,86 * 3,221,298,237,258
132,2,1,2,3 * 33,156,222,59,99
133,2,1,2,8 * 87,189,51,170,696
134,2,1,2,98 * 6,191,113,278,588
135,2,1,2,77 * 9,139,224,74,693
136,2,1,3,63 * 10,902,837,519,630
137,2,1,3,34 * 15,907,554,993,510
138,2,1,3,55 * 31,533,538,616,1705
139,2,1,3,48 * 45,540,849,596,2160
140,2,1,3,43 * 77,590,623,652,3311
141,2,1,4,150 * 40,1044,2289,2788,6000
142,2,1,4,200 * 31,1902,2807,2984,6200
143,2,1,4,350 * 45,2118,1773,1598,15750
144,2,1,4,555 * 50,1085,531,2845,27750
145,2,1,4,99 * 600,1820,1660,685,59400
146,2,1,5,100 * 110,37778,38866,16776,11000
147,2,1,5,120 * 120,41109,43724,41059,14400
